year_month,theme,theme_count,rank
2024-11,PUBLIC_TRANSPORT,548395,10
2024-11,WOUND,536194,11
2024-11,TOURISM,535632,12
2024-11,PROTEST,529043,13
2024-11,CORRUPTION,498471,14
2024-11,GEN_HOLIDAY,486015,15
2024-11,BORDER,472272,16
2024-11,ENV_OIL,469214,17
2024-11,DEMOCRACY,401027,18
2024-11,TRAFFIC,391185,19
2024-11,TAX_MILITARY_TITLE_OFFICER,346696,20
2024-12,SECURITY_SERVICES,3642925,1
2024-12,ARMEDCONFLICT,2355753,2
2024-12,KILL,2152393,3
2024-12,ELECTION,1325479,4
2024-12,ARREST,1278497,5
2024-12,MILITARY,1103782,6
2024-12,GEN_HOLIDAY,961127,7
2024-12,AGRICULTURE,901768,8
2024-12,MARITIME,864526,9
2024-12,TERROR,848125,10
2024-12,WOUND,717879,11
2024-12,PUBLIC_TRANSPORT,715116,12
2024-12,TOURISM,687861,13
2024-12,PROTEST,461178,14
2024-12,BORDER,442636,15
2024-12,TRAFFIC,395620,16
2024-12,CONSTITUTIONAL,384869,17
2024-12,CORRUPTION,359042,18
2024-12,ENV_OIL,317864,19
2024-12,TAX_MILITARY_TITLE_OFFICER,314721,20
2025-01,SECURITY_SERVICES,3723511,1
2025-01,ARMEDCONFLICT,2348298,2
2025-01,KILL,2192400,3
2025-01,ARREST,1501104,4
2025-01,ELECTION,1406263,5
2025-01,MILITARY,1100609,6
2025-01,AGRICULTURE,837180,7
2025-01,MARITIME,832870,8
2025-01,WOUND,632591,9
2025-01,ENV_OIL,629823,10
2025-01,BORDER,622987,11
2025-01,PUBLIC_TRANSPORT,593159,12
